,production_countries,counts
0,US,2194
1,IN,606
2,GB,387
3,JP,281
4,FR,235
5,CA,209
6,KR,206
7,ES,205
8,DE,137
9,MX,117
10,CN,101
11,BR,96
12,PH,85
13,TR,80
14,IT,79
15,AU,78
16,NG,70
17,AR,70
18,TW,58
19,ID,57
20,BE,49
21,EG,47
22,PL,42
23,HK,41
24,ZA,39
25,NL,38
26,CO,38
27,TH,37
28,LB,35
29,SE,30
30,DK,29
31,SG,24
32,NO,22
33,CL,20
34,PS,20
35,MY,19
36,XX,18
37,AE,18
38,IE,17
39,IL,16
40,RU,14
41,AT,13
42,CH,12
43,SA,12
44,PE,12
45,NZ,11
46,IS,11
47,QA,10
48,CZ,9
49,BG,8
50,HU,7
51,FI,7
52,LU,7
53,UY,7
54,JO,6
55,RO,6
56,MA,5
57,PT,5
58,KW,5
59,UA,4
60,GH,4
61,KH,3
62,VN,3
63,IO,3
64,PK,3
65,BD,3
66,GR,3
67,TZ,3
68,AL,2
69,KE,2
70,SU,2
71,IQ,2
72,LT,2
73,SN,2
74,AF,2
75,CM,2
76,RS,2
77,PR,2
78,CD,2
79,SY,2
80,IR,2
81,KG,1
82,,1
83,MZ,1
84,GT,1
85,AO,1
86,LK,1
87,MU,1
88,DZ,1
89,MW,1
90,VE,1
91,CY,1
92,Lebanon,1
93,GE,1
94,BF,1
95,SK,1
96,NP,1
97,PY,1
98,ZW,1
99,TN,1
100,HR,1
101,GL,1
102,VA,1
103,BS,1
104,CU,1
105,FO,1
